product_name,price
"OPPO K10 5G (Ocean Blue, 128 GB)",17499
"OPPO K10 5G (Ocean Blue, 128 GB)",16499
"OPPO K10 5G (Midnight Black, 128 GB)",16499
"OPPO K10 5G (Midnight Black, 128 GB)",17499
"OPPO K10 (Black Carbon, 128 GB)",14990
"OPPO K10 (Blue Flame, 128 GB)",14990
"OPPO F19 (Midnight Blue, 128 GB)",14990
"OPPO F19 (Prism Black, 128 GB)",14990
"OPPO K10 (Black Carbon, 128 GB)",16990
"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",19959
"OPPO Reno8 5G (Shimmer Black, 128 GB)",29999
"OPPO Reno8 5G (Shimmer Gold, 128 GB)",29999
"OPPO F19 Pro+ 5G (Fluid Black, 128 GB)",19959
"OPPO F19 Pro (Fantastic Purple, 256 GB)",18990
"OPPO A16E (Blue, 32 GB)",9490
"OPPO A54 (Starry Blue, 128 GB)",14490
"OPPO A54 (Crystal Black, 128 GB)",14990
"OPPO A16E (White, 32 GB)",9490
"OPPO F19s (Glowing Gold, 128 GB)",20109
"OPPO A16E (Blue, 64 GB)",10289
"OPPO F19 Pro (Fluid Black, 256 GB)",18990
"OPPO F19s (Glowing Black, 128 GB)",20109
"OPPO A12 (Blue, 32 GB)",9990
"OPPO A17 (Sunlight Orange, 64 GB)",12499
