product_name,price
"realme C31 (Dark Green, 64 GB)",9999
"realme C31 (Dark Green, 32 GB)",9299
"realme C31 (Light Silver, 32 GB)",9299
"realme 9i (Prism Black, 128 GB)",15129
"realme 9i (Prism Blue, 128 GB)",15129
"realme C31 (Light Silver, 64 GB)",9999
"realme C33 (Aqua Blue, 64 GB)",9999
"realme C33 (Aqua Blue, 32 GB)",8999
"realme C33 (Sandy Gold, 64 GB)",9999
"realme C33 (Night Sea, 32 GB)",8999
"realme C33 (Night Sea, 64 GB)",9999
"realme C30 (Lake Blue, 32 GB)",6999
"realme C33 (Sandy Gold, 32 GB)",8999
"realme C30 (Denim Black, 32 GB)",6999
"realme C30 (Bamboo Green, 32 GB)",6999
"realme 9 5G (Stargaze White, 64 GB)",16199
"realme 9 5G (Meteor Black, 64 GB)",16199
"realme 9 5G (Supersonic Blue, 128 GB)",17499
"realme 9 5G (Supersonic Blue, 64 GB)",15999
"realme 9 5G (Supersonic Black, 64 GB)",15999
"realme 9 5G (Stargaze White, 128 GB)",17649
"realme 9 5G (Meteor Black, 128 GB)",17649
"realme C30 (Denim Black, 32 GB)",6499
"realme Narzo 50 (Speed Black, 128 GB)",12399
