product_name,price
"REDMI 10 (Pacific Blue, 64 GB)",10999
"REDMI 10 (Midnight Black, 64 GB)",10999
"REDMI 10 (Caribbean Green, 64 GB)",10999
"REDMI 9i Sport (Metallic Blue, 64 GB)",9049
"REDMI Note 11 SE (Bifrost Blue, 64 GB)",13999
"REDMI Note 11 SE (Space Black, 64 GB)",13999
"REDMI 9i Sport (Coral Green, 64 GB)",9049
"REDMI 10 Prime 2022 (Phantom Black, 64 GB)",10990
"REDMI 9i (Midnight Black, 64 GB)",8799
"REDMI 9i Sport (Carbon Black, 64 GB)",9049
"REDMI 10 Prime (Phantom Black, 128 GB)",13499
"REDMI Note 11 SE (Thunder Purple, 64 GB)",13999
"REDMI Note 11 SE (Cosmic White, 64 GB)",13999
"REDMI 9 Activ (Metallic Purple, 128 GB)",10499
"REDMI 10 Prime 2022 (Astral White, 64 GB)",10819
"REDMI 10A (Sea Blue, 64 GB)",8964
"REDMI Note 10 Pro Max (Dark Night, 128 GB)",17999
"REDMI Note 10T 5G (Mint Green, 128 GB)",14999
"REDMI Note 10T 5G (Metallic Blue, 64 GB)",12999
"REDMI Note 10T 5G (Chromium White, 128 GB)",14999
"REDMI Note 10T 5G (Mint Green, 64 GB)",12999
"REDMI 9 Activ (Coral Green, 64 GB)",8880
"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)",17999
"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)",17999
