product_name,price
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",11999
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",11999
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",11999
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",18499
"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",34999
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",17499
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",17499
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",18499
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",13499
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",18499
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",12999
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",12999
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",34999
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",12999
SAMSUNG GT-E1215ZKAINS,1299
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",10499
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",10433
SAMSUNG GT-E1215,1550
SAMSUNG Guru Music 2,1850
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",15178
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",15618
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",11499
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",11499
SAMSUNG Guru Music 2,2349
